brochure_number,type,url,title,tags,start,end,visible_start,store_number,distribution,variety,national,gender,age_range,tracking_bug,options,lang_code,zipcode,layout
180256,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216265188/180256_683feda4-0ab0-4e3f-b4b0-004c43be90da_2025-06-04-08-54-28.pdf,"Good Value Booze, For a Good Value EOFY.",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","320151,320092,318951,318950,312613,312612,302308,102370,43280,43270",,leaflet,,,,,,,,
180257,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216274188/180257_683fede7-e16c-4ded-9903-01d343be90da_2025-06-04-08-55-35.pdf,"Good Value Booze, For a Good Value EOFY.",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","318947,318946,318944,318943,318939,318937,312622,312620,312619,312618,312617,312616,309646,309645,309644,309643,309097,307702,307701,307700,307699,307698,307697,307696",,leaflet,,,,,,,,
180258,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216283014/180258_683fedea-9d74-4ae9-89c9-005e43be90da_2025-06-04-08-55-38.pdf,"Good Value Booze, For a Good Value EOFY.",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","320155,320154,319018,318949,318948,318942,318941,318940,318935,312608,312607,312605,307704,307703,305096,305095,304303,304298,304297,304296,302477,302476,302473,302472,302471,276564,275637,275634,275630,275622,271708,269708,266498,223540,102910,102905,102895,102885,102870,102790,102785,102730,102720,102675,102665,102625,102620,102555,102500,102490,102435,102420,102395,102380,102360,102330,102300,102245,102185,102160,102145,102140,102015,101935,101855,101845,101840,101820,101810,101800,43285,43100,43060,43005,42990,42980,42955",,leaflet,,,,,,,,
180259,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216291496/180259_683fee0e-91c0-493b-92a8-01d943be90da_2025-06-04-08-56-14.pdf,"Good Value Booze, For a Good Value EOFY.",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","318938,312590,312589,307705,304306,302481,302480,302479,302305,302302,302297,302291,271723,266688,102710,102650,102325,102220,43020",,leaflet,,,,,,,,
180260,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216301094/180260_683fee37-10c4-4910-ba62-01f343be90da_2025-06-04-08-56-55.pdf,"Good Value Booze, For a Good Value EOFY.",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","319037,319035,319026,319023,319021,319020,319017,319016,319014,319012,319011,319010,319009",,leaflet,,,,,,,,
180261,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216310311/180261_683fee05-115c-469d-9e85-006443be90da_2025-06-04-08-56-05.pdf,"Good Value Booze, For a Good Value EOFY.",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","319033,319022,319019,319013",,leaflet,,,,,,,,
180262,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216320678/180262_683ff0fd-9644-48aa-bfed-017f43be90da_2025-06-04-09-08-45.pdf,"Good Value Booze, For a Good Value EOFY",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","320156,320134,320133,320132,320131,320130,320129,319890,319889,318934,318933,318931,318930,318928,318927,318926,318925,318924,312965,312604,312599,312598,312593,309639,305890,305889,305092,305090,304260,304259,304258,302464,302463,302462,302461,302460,302458,302457,302454,302309,302298,302290,302289,302284,302281,266308,102930,102805,102700,102590,102570,102525,102455,102450,102400,102375,102365,102270,102225,102205,102045,102040,101925,101870,43295,43240,43205,43175,43150,43140,43125,43075,43065,43040,42960,42950",,leaflet,,,,,,,,
180263,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216329132/180263_683ff11e-8484-49d5-a42f-011f43be90da_2025-06-04-09-09-18.pdf,"Good Value Booze, For a Good Value EOFY",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie",43120,,leaflet,,,,,,,,
180264,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216338199/180264_683ff12e-9874-4df0-b9af-012543be90da_2025-06-04-09-09-34.pdf,"Good Value Booze, For a Good Value EOFY",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","307692,304264,304263,302307,302288,302283,43235",,leaflet,,,,,,,,
180265,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216347507/180265_683ff0ea-90a0-4356-8e35-017c43be90da_2025-06-04-09-08-26.pdf,"Good Value Booze, For a Good Value EOFY",,"2025-06-09T00:00:00 Antarctica/Macquarie","2025-06-22T00:00:00 Antarctica/Macquarie","2025-06-09T00:00:00 Antarctica/Macquarie","320148,320147,320146,320145,320144,320143,320142,320141,320140,320138,320137,320136,320094,319623,318945,318936,318679,312287,266683,246155,102925,102765",,leaflet,,,,,,,,
