store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
320181,Currimundi,4551,"701 Nicklin Way",,-26.76796085053,153.12237125158,,,,,,,,,,,,,,,,,,
319888,Woolloongabba,4102,"74 Ipswich Rd",,-27.490559074999,153.0357028272,"Bob Jane T-Marts Woolloongabba",,,"(07) 3240 3900",,,,,,,,,,,,,,
319056,BELMONT,6104,"247 Great Eastern Hwy",,-31.941221312471,115.92739002996,,,,"(08) 6272 7400",,,,,,,,,,,,,,
290490,Sunbury,3429,"66-68 Horne St",,-37.581662,144.723795,"Store Hours May Vary",,,"(03) 9746 4500",,,,,,,,,,,,,,
281678,Robina,4226,"31 Brabham Circuit",,-28.08291,153.389782,"Bob Jane T-Marts Robina",,,"(07) 5562 2293",,,,,,,,,,,,,,
281566,"Port Kennedy",6172,"9 Sunlight Dr",,-32.367863,115.756783,"Port Kennedy",,,"(08) 9524 5320",,,,,,,,,,,,,,
276092,Aspley,4034,"59 Albany Creek Rd & 9 Gayford St",,-27.361886,153.013249,"The Aspley Hypermarket",,,"(07) 3350 2899","(07) 3350 2253",,,,,,,,,,,,,
276091,Gladesville,2111,"441 Victoria Rd",,-33.823005,151.123018,,,,"(02) 9816 4312","(02) 9879 3520",,,,,,,,,,,,,
2425,Morley,6062,"160 Russell St",,-31.902941,115.902911,,,,"(08) 9271 2866","(08) 9271 7411",,,,,,,,,,,,,
2420,Midland,6056,"216 Great Eastern Hwy",,-31.891794,116.015513,,,,"(08) 9274 3333","(08) 9250 1028",,,,,,,,,,,,,
2415,Joondalup,6027,"Cnr Cord St & Joondalup Dr & 189 Winton Rd",,-31.744912,115.763316,"Unit 2/ 189",,,"(08) 9300 0326","(08) 9300 0325",,,,,,,,,,,,,
2410,Clarkson,6030,"Cnr Belleville Gardens & Marmion Ave & 4 Pensacola Tce",,-31.68663,115.715182,"Unit 2",,,"(08) 9407 8500","(08) 9407 9711",,,,,,,,,,,,,
2405,Claremont,6010,"Cnr Stirling Rd & Gugeri St",,-31.982102,115.777837,,,,"(08) 9383 1355","(08) 9383 1593",,,,,,,,,,,,,
2400,Rockingham,6168,"25 Dixon Rd",,-32.27694,115.748936,,,,"(08) 9527 9868","(08) 9592 2224",,,,,,,,,,,,,
2395,"Osborne Park",6017,"489 Scarborough Beach Rd",,-31.90487,115.805384,,,,"(08) 9446 6611","(08) 9446 6011",,,,,,,,,,,,,
2390,Balcatta,6021,"3 Ledgar Rd",,-31.865351,115.80647,,,,"(08) 9345 3514","(08) 9240 1502",,,,,,,,,,,,,
2385,Kwinana,6167,"8B Chisham Ave",,-32.244526,115.815995,,,,"(08) 9419 5866","(08) 9419 5975",,,,,,,,,,,,,
2380,Armadale,6112,"Cnr Commerce Ave & William St",,-32.154876,116.013486,,,,"(08) 9399 4800","(08) 9399 7570",,,,,,,,,,,,,
2375,Greenfields,6210,"15 Fitzgerald Rd",,-32.516616,115.748668,Mandurah,,,"(08) 9583 3768","(08) 9583 4180",,,,,,,,,,,,,
2370,Bunbury,6230,"112 Blair St & Park St",,-33.332134,115.642817,,,,"(08) 9721 1044","(08) 9721 1219",,,,,,,,,,,,,
