store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
312398,"Marden Park",2765,"111 Elara blvd",,-33.695677385354,150.82011074757,"Elara Village Centre",,,,,,,,,,,,,,,,,
312397,Schofields,2762,"227 Railway tce",,-33.705663682212,150.87584347382,"Scofileds Shopping Centre",,,,,,,,,,,,,,,,,
312396,Ingleburn,2565,"Cnr Macquarie & Ingleburn rd",,-33.99676729772,150.8665894745,,,,,,,,,,,,,,,,,,
312395,"Macquarie Fields",2564,"Cnr Harold St & Victoria Rd",,-33.986935587848,150.89170224258,"Glenquarie Shopping Centre",,,,,,,,,,,,,,,,,
312394,"Seven Hills",2147,"62 Federal rd",,-33.775310006471,150.92697848253,,,,,,,,,,,,,,,,,,
312393,Hillsdale,2036,"238-262 Bunnerong Rd",,-33.951607947511,151.23076454651,"Southpoint Shopping Centre",,,,,,,,,,,,,,,,,
312392,Redfern,2016,"Cnr Cleveland & Baptist Sts",,-33.891519608883,151.21259598413,"Surry Hills Shopping Centre",,,,,,,,,,,,,,,,,
312341,Branxton,2335,"22 Empire St",,-32.669972072056,151.34979885867,,,,,,,,,,,,,,,,,,
312340,Mayfield,2304,"77 Maitland Rd",,-32.901113672931,151.7421614129,,,,,,,,,,,,,,,,,,
312339,Marrickville,2204,"51-55 Edinburgh Rd",,-33.908141160608,151.17204557899,,,,,,,,,,,,,,,,,,
312338,Chullora,2190,"355-357 Waterloo Rd",,-33.893018293543,151.06158625536,,,,,,,,,,,,,,,,,,
312337,"Edmondson Park",2174,"Cnr Soldiers Pde & Campbelltown Rd",,-33.969738714612,150.85814465598,,,,,,,,,,,,,,,,,,
312336,"North Ryde",2113,"Cnr Talavera And Herrings Rds",,-33.77833665305,151.12061221783,,,,,,,,,,,,,,,,,,
294993,"Wentworth Point",2127,"5 Footbridge Blvd",,-33.82443,151.07906,,,,"(02) 7922 3000",30/12/2019,,,,,,,,,,,,,
294992,"St Ives",2075,"166 Mona Vale Rd",,-33.730194,151.157796,,,,"(02) 7955 9900",30/12/2019,,,,,,,,,,,,,
294991,"Mount Hutton",2290,"46 Wilsons Rd",,-32.984395,151.672821,"Lake Macquarie",,,"(02) 4050 2100",30/12/2019,,,,,,,,,,,,,
294990,"Crows Nest",2065,"101-110 Willoughby Rd",,-33.823264,151.201121,,,,"(02) 7955 9100",30/12/2019,,,,,,,,,,,,,
294989,Jamison,2614,"Bowman St",,-35.252699,149.07137,,,,"(02) 6256 2200",30/12/2019,,,,,,,,,,,,,
283343,Zetland,2017,"2 Defries Ave",,-33.905302,151.213546,,,,"(02) 8344 6200",30/12/2019,,,,,,,,,,,,,
283342,Wyong,2259,"11-18 Alison Rd",,-33.283373,151.422889,,,,"(02) 4353 9599",30/12/2019,,,,,,,,,,,,,
283341,Waterloo,2017,"782 Bourke St",,-33.897558,151.213269,,,,"(02) 9549 3700",30/12/2019,,,,,,,,,,,,,
283340,Wadalba,2259,"1 Edward Stinson St",,-33.264269,151.464771,,,,"(02) 4392 0019",30/12/2019,,,,,,,,,,,,,
283339,Vincentia,2540,"29 The Wool Rd",,-35.070278,150.674454,,,,"(02) 4441 7396",30/12/2019,,,,,,,,,,,,,
283338,"Tweed Heads South",2486,"54 Minjungbal Dr",,-28.200322,153.54696,"Tweed City S/C",,,"(07) 5506 4000",30/12/2019,,,,,,,,,,,,,
283337,"Tweed Heads",2485,"Wharf St & Bay St",,-28.173171,153.543612,"Tweed Mall S/C",,,"(07) 5536 3977",30/12/2019,,,,,,,,,,,,,
283335,Queanbeyan,2620,"131 Monaro St",,-35.35161,149.235543,"Riverside Plaza S/C",,,"(02) 6124 3600",30/12/2019,,,,,,,,,,,,,
