PLZ;Sprache
1000;FR
1002;FR
1003;FR
1004;FR
1005;FR
1006;FR
1007;FR
1008;FR
1009;FR
1010;FR
1011;FR
1012;FR
1015;FR
1018;FR
1020;FR
1022;FR
1023;FR
1024;FR
1025;FR
1026;FR
1027;FR
1028;FR
1029;FR
1030;FR
1031;FR
1032;FR
1033;FR
1034;FR
1035;FR
1036;FR
1037;FR
1038;FR
1040;FR
1041;FR
1042;FR
1043;FR
1044;FR
1045;FR
1046;FR
1047;FR
1052;FR
1053;FR
1054;FR
1055;FR
1058;FR
1059;FR
1061;FR
1062;FR
1063;FR
1066;FR
1068;FR
1070;FR
1071;FR
1072;FR
1073;FR
1076;FR
1077;FR
1078;FR
1080;FR
1081;FR
1082;FR
1083;FR
1084;FR
1085;FR
1088;FR
1090;FR
1091;FR
1092;FR
1093;FR
1094;FR
1095;FR
1096;FR
1097;FR
1098;FR
1110;FR
1112;FR
1113;FR
1114;FR
1115;FR
1116;FR
1117;FR
1121;FR
1122;FR
1123;FR
1124;FR
1125;FR
1126;FR
1127;FR
1128;FR
1131;FR
1132;FR
1134;FR
1135;FR
1136;FR
1141;FR
1142;FR
1143;FR
1144;FR
1145;FR
1146;FR
1147;FR
1148;FR
1149;FR
1162;FR
1163;FR
1164;FR
1165;FR
1166;FR
1167;FR
1168;FR
1169;FR
1170;FR
1172;FR
1173;FR
1174;FR
1175;FR
1176;FR
1180;FR
1182;FR
1183;FR
1184;FR
1185;FR
1186;FR
1187;FR
1188;FR
1189;FR
1195;FR
1196;FR
1197;FR
1200;FR
1201;FR
1202;FR
1203;FR
1204;FR
1205;FR
1206;FR
1207;FR
1208;FR
1209;FR
1212;FR
1213;FR
1214;FR
1215;FR
1216;FR
1217;FR
1218;FR
1219;FR
1220;FR
1222;FR
1223;FR
1224;FR
1225;FR
1226;FR
1227;FR
1228;FR
1231;FR
1232;FR
1233;FR
1234;FR
1236;FR
1237;FR
1239;FR
1241;FR
1242;FR
1243;FR
1244;FR
1245;FR
1246;FR
1247;FR
1248;FR
1251;FR
1252;FR
1253;FR
1254;FR
1255;FR
1256;FR
1257;FR
1258;FR
1260;FR
1261;FR
1262;FR
1263;FR
1264;FR
1265;FR
1266;FR
1267;FR
1268;FR
1269;FR
1270;FR
1271;FR
1272;FR
1273;FR
1274;FR
1275;FR
1276;FR
1277;FR
1278;FR
1279;FR
1281;FR
1283;FR
1284;FR
1285;FR
1286;FR
1287;FR
1288;FR
1290;FR
1291;FR
1292;FR
1293;FR
1294;FR
1295;FR
1296;FR
1297;FR
1298;FR
1299;FR
1302;FR
1303;FR
1304;FR
1305;FR
1306;FR
1307;FR
1308;FR
1312;FR
1313;FR
1315;FR
1316;FR
1317;FR
1318;FR
1321;FR
1322;FR
1323;FR
1324;FR
1325;FR
1326;FR
1329;FR
1337;FR
1338;FR
1341;FR
1342;FR
1343;FR
1344;FR
1345;FR
1346;FR
1347;FR
1348;FR
1350;FR
1352;FR
1353;FR
1354;FR
1355;FR
1356;FR
1357;FR
1358;FR
1372;FR
1373;FR
1374;FR
1375;FR
1376;FR
1377;FR
1400;FR
1404;FR
1405;FR
1406;FR
1407;FR
1408;FR
1409;FR
1410;FR
1412;FR
1413;FR
1415;FR
1416;FR
1417;FR
1418;FR
1420;FR
1421;FR
1422;FR
1423;FR
1424;FR
1425;FR
1426;FR
1427;FR
1428;FR
1429;FR
1430;FR
1431;FR
1432;FR
1433;FR
1434;FR
1435;FR
1436;FR
1437;FR
1438;FR
1439;FR
1441;FR
1442;FR
1443;FR
1445;FR
1446;FR
1450;FR
1452;FR
1453;FR
1454;FR
1462;FR
1463;FR
1464;FR
1468;FR
1470;FR
1473;FR
1474;FR
1475;FR
1482;FR
1483;FR
1484;FR
1485;FR
1486;FR
1489;FR
1509;FR
1510;FR
1512;FR
1513;FR
1514;FR
1515;FR
1521;FR
1522;FR
1523;FR
1524;FR
1525;FR
1526;FR
1527;FR
1528;FR
1529;FR
1530;FR
1532;FR
1533;FR
1534;FR
1535;FR
1536;FR
1537;FR
1538;FR
1541;FR
1542;FR
1543;FR
1544;FR
1545;FR
1551;FR
1552;FR
1553;FR
1554;FR
1555;FR
1562;FR
1563;FR
1564;FR
1565;FR
1566;FR
1567;FR
1568;FR
